country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Guatemala,poor,0.2,1610.1548924416659,0.06985804,0.6211939031532475,2301.7246375435707,0.07922284356415867,0.5837106449697208,0.3200000000000001
Guinea,nonpoor,0.8,1312.0547083917015,0.044386400000000006,1.2251316483513304,3719.530593705743,0.009116358935146333,0.6849999999999998,0.4799999999999999
Guinea,poor,0.2,429.2139158563939,0.0054247290000000005,0.09947340659467711,1293.6980844480938,0.011363890965879742,0.6999999999999997,0.4799999999999999
Honduras,nonpoor,0.8,5772.442252259986,0.1964441,1.1689766393773704,15955.50927929504,0.0645099925775923,0.391375828971834,0.3200000000000001
Honduras,poor,0.2,837.4527619859049,0.06635397999999999,0.32409344249051825,1985.7256871295886,0.06648158908658937,0.6999999999999998,0.3200000000000001
Hungary,nonpoor,0.8,28618.126333100536,0.2304348,1.0899740897623416,138118.03765973455,0.04044288837938887,0.43510499999999996,0.8
Hungary,poor,0.2,9684.224963044864,0.1423596,0.6401036409506338,8638.982350506581,0.049907337845292665,0.6999999999999998,0.8
India,nonpoor,0.8,6573.403176973656,0.1883363,1.0747655310285056,14648.62006697785,0.0060827883853215164,0.52231544875,0.6400000000000002
India,poor,0.2,2373.6492937349267,0.07480032,0.7009378758859772,4754.362013260099,0.006499767703033875,0.6999999999999998,0.6400000000000002
Indonesia,nonpoor,0.8,12043.08055826538,0.3511817,1.0829089047178844,39219.64456309242,0.026207186010007263,0.19760155000000001,0.6400000000000002
Indonesia,poor,0.2,3754.294381211974,0.1379658,0.6683643811284621,10639.163356593193,0.025781348441618085,0.3,0.6400000000000002
"Iran, Islamic Rep.",nonpoor,0.8,19228.619871024126,0.2603003,1.0819960046775345,61162.483519390924,0.01780295430104149,0.27298385870631203,0.3200000000000001
"Iran, Islamic Rep.",poor,0.2,5620.641756483498,0.1516682,0.6720159812898618,14898.408431445785,0.018324861652272068,0.6999999999999998,0.3200000000000001
Ireland,nonpoor,0.8,70792.26624992698,0.5566726999999999,1.0999612632122076,238268.35635137506,0.011189497976777698,0.2663043624999999,0.0
Ireland,poor,0.2,23722.73623548003,0.4005193,0.6001549471511698,32922.58954295522,0.012353004096684023,0.3000000000000001,0.0
Israel,nonpoor,0.8,38121.05016154755,0.6097891,1.0960112549559382,108204.31359704841,0.007736311838119202,0.5499999999999999,0.0
Israel,poor,0.2,7369.243788436282,0.4204639,0.6159549801762471,13105.002958782814,0.00774461286964551,0.6999999999999998,0.0
Italy,nonpoor,0.8,40109.83793215036,0.4406689,1.168860482880991,196416.0542874691,0.017480688835568782,0.2394999999999999,0.8
Italy,poor,0.2,10659.455702988025,0.2017134,0.3245580684760357,50546.92193290189,0.017791576231313153,0.5700000000000001,0.8
Jamaica,nonpoor,0.8,9866.845681441311,0.3520919,1.1355691521456226,26089.023129005524,0.13950274227620885,0.391375828971834,0.6400000000000002
Jamaica,poor,0.2,2200.0399154565084,0.21472039999999998,0.4577233914175103,5004.605608615905,0.14128619301847486,0.6999999999999998,0.6400000000000002
Japan,nonpoor,0.8,43851.576676648874,0.6250876999999999,0.998137097978925,216064.28518091026,0.031866827631779365,0.20493824999999996,0.6400000000000002
Japan,poor,0.2,13956.002163744022,0.5732915,1.0074516080842997,35571.927435911675,0.03268758487722875,0.3,0.6400000000000002
