country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,protection,tau_tax
Kenya,2901.01294130716,46050302.0,0.25622,0.8,0.5083333333333333,0.46296027315172006,3,0.2,1.5,0.06,0.8,0.05,20.0,0.07104047687720984
Kyrgyz Republic,3224.93175329893,5956900.0,0.35707,0.6,0.4833333333333333,0.5202256666410198,3,0.2,1.5,0.06,0.8,0.05,20.0,0.27538849763246137
Lao PDR,5345.26140600954,6802023.0,0.38614,0.4,0.16666666666666666,0.2472988860728427,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1265019377306789
Latvia,23080.3606896556,1977527.0,0.6738200000000001,0.0,0.35,0.2393699080806075,3,0.2,1.5,0.06,0.8,0.05,20.0,0.2547650484
Lesotho,2770.1995896534004,2135022.0,0.27312,0.4,0.16666666666666666,0.1992120956582078,3,0.2,1.5,0.06,0.8,0.05,20.0,0.08183701978968554
Liberia,784.581331279852,4503438.0,0.49701000000000006,0.0,0.0,0.4725120712732518,3,0.2,1.5,0.06,0.8,0.05,20.0,0.12570062311270505
Lithuania,26970.8824064979,2904910.0,0.66508,0.0,0.35,0.3129644244946807,3,0.2,1.5,0.06,0.8,0.05,20.0,0.3470070992000001
Luxembourg,93899.65649641199,569604.0,0.9016,0.0,0.5,0.24723066038615737,3,0.2,1.5,0.06,0.8,0.05,20.0,0.3869394408412
"Macedonia, FYR",12732.402599736399,2078453.0,0.57104,0.6666666666666667,0.3333333333333333,0.2639321665831752,3,0.2,1.5,0.06,0.8,0.05,20.0,0.2661866591405015
Madagascar,1376.26010795899,24235390.0,0.35105,0.6,0.25,0.2940729838426214,3,0.2,1.5,0.06,0.8,0.05,20.0,0.09294240994057974
Malawi,1111.64870442195,17215232.0,0.16272000000000006,0.8,0.3333333333333333,0.25307656921941635,3,0.2,1.5,0.06,0.8,0.05,20.0,0.023317183776820197
Malaysia,25311.906761013997,30331007.0,0.74705,0.8,0.7666666666666666,0.2505940745612133,3,0.2,1.5,0.06,0.8,0.05,20.0,0.06180797842335184
Mali,1904.85696733101,17599694.0,0.39916,0.6,0.3333333333333333,0.6438448659589122,3,0.2,1.5,0.06,0.8,0.05,20.0,0.050736408646421656
Mauritania,3693.5420412279705,4067564.0,0.59859,0.6666666666666667,0.3333333333333333,0.23810597085800642,3,0.2,1.5,0.06,0.8,0.05,20.0,0.08624486689319907
Mauritius,18864.1056658413,1262605.0,0.39671,0.7333333333333333,0.7416666666666667,0.29481279169257346,3,0.2,1.5,0.06,0.8,0.05,20.0,0.33331127207572653
Mexico,16490.3457963968,127017224.0,0.79246,0.5333333333333333,0.7666666666666666,0.36826304497677287,3,0.2,1.5,0.06,0.8,0.05,20.0,0.2769635161940396
Moldova,4742.019068679229,3554108.0,0.44995,0.6,0.375,0.25670477375728673,3,0.2,1.5,0.06,0.8,0.05,20.0,0.3696911915221502
Mongolia,11477.8266826252,2959134.0,0.7204,0.5333333333333333,0.5666666666666667,0.20767487925071607,3,0.2,1.5,0.06,0.8,0.05,20.0,0.23170006858198783
Montenegro,15254.3071308672,622159.0,0.64026,0.0,0.175,0.3648966623915853,3,0.2,1.5,0.06,0.8,0.05,20.0,0.3335547919554086
Morocco,7364.7662825442785,34377511.0,0.60195,0.8666666666666666,0.75,0.26925696721882303,3,0.2,1.5,0.06,0.8,0.05,20.0,0.13473615460588653
Namibia,9778.405178690558,2458830.0,0.4666,0.7333333333333333,0.6083333333333334,0.2751726819797061,3,0.2,1.5,0.06,0.8,0.05,20.0,0.13636260259223673
Nepal,2312.39434472368,28513700.0,0.18615,0.6,0.3333333333333333,0.2701993002713125,3,0.2,1.5,0.06,0.8,0.05,20.0,0.2842005056973664
Netherlands,46353.8519057892,16939923.0,0.90496,0.8,0.9166666666666667,0.25251989485705195,3,0.2,1.5,0.06,0.8,0.05,20.0,0.34092111213350007
Niger,897.395320524357,19899120.0,0.18732000000000001,0.6666666666666667,0.3333333333333333,0.23359231685535525,3,0.2,1.5,0.06,0.8,0.05,20.0,0.06174262778140223
Nigeria,5638.88737884687,182201962.0,0.47776,0.8,0.5916666666666667,0.8736444729486806,3,0.2,1.5,0.06,0.8,0.05,20.0,0.011061176841722656
Norway,63649.5053244752,5190239.0,0.8047300000000001,0.8,1.0,0.3359516873480029,3,0.2,1.5,0.06,0.8,0.05,20.0,0.315200031746
Pakistan,4706.18473260133,188924874.0,0.38758,0.7333333333333333,0.5416666666666667,0.3767173581299691,3,0.2,1.5,0.06,0.8,0.05,20.0,0.13074179176151193
Panama,20885.339448334198,3929141.0,0.66592,0.6666666666666667,0.7166666666666667,0.5402427160644628,3,0.2,1.5,0.06,0.8,0.05,20.0,0.11700173315893483
Paraguay,8639.281644633109,6639123.0,0.5966600000000001,0.8,0.6666666666666667,0.3682732130696673,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1506616786894548
Peru,11767.522115728301,31376670.0,0.78609,0.6,0.7666666666666666,0.27019867536419195,3,0.2,1.5,0.06,0.8,0.05,20.0,0.20006842110720793
Philippines,6938.2103015816,100699395.0,0.4437300000000001,0.7333333333333333,0.6333333333333333,0.27365718828027585,3,0.2,1.5,0.06,0.8,0.05,20.0,0.22577872589493353
Poland,25322.538433281206,37986412.0,0.60539,0.6,0.7916666666666667,0.41320263199936846,3,0.2,1.5,0.06,0.8,0.05,20.0,0.4967249119
Portugal,26548.6192370502,10358076.0,0.63468,0.8,0.6666666666666667,0.19024226740462855,3,0.2,1.5,0.06,0.8,0.05,20.0,0.46200575272
Romania,20483.7753071325,19815308.0,0.5456399999999999,0.6,0.6916666666666667,0.2677480378213938,3,0.2,1.5,0.06,0.8,0.05,20.0,0.4233337576
Russian Federation,24124.3323635443,144096870.0,0.7400800000000001,0.0,0.25,0.3491630039272151,3,0.2,1.5,0.06,0.8,0.05,20.0,0.21403781018489848
Rwanda,1655.17535545677,11609666.0,0.28811,0.8,0.4833333333333333,0.712577817249879,3,0.2,1.5,0.06,0.8,0.05,20.0,0.07666377899559804
Senegal,2273.62418655272,15129273.0,0.43721,0.6666666666666667,0.5083333333333333,0.22621011201636318,3,0.2,1.5,0.06,0.8,0.05,20.0,0.21141223930085626
Serbia,13277.7517277447,7095383.0,0.5555300000000001,0.6,0.5083333333333333,0.2201204533701086,3,0.2,1.5,0.06,0.8,0.05,20.0,0.37078846304266555
Sierra Leone,1473.913005475,6453184.0,0.39942,0.7333333333333333,0.3333333333333333,0.4068659912801502,3,0.2,1.5,0.06,0.8,0.05,20.0,0.029930764497342256
Slovak Republic,28254.2557926965,5423801.0,0.53598,0.7333333333333333,0.625,0.30590188604179597,3,0.2,1.5,0.06,0.8,0.05,20.0,0.3929930851484
