scenario,r,eta,insu,v,proba,Keq,Kopt,K1,Weq,Wopt,W1,Weq_rel,Wopt_rel,W1_rel
83,0.04,0.5,0,0.25,0.05,157.2440745,148.8510889,157.2440745,37.34546769,37.04184063,32.1256619,1.055555556,1.068080108,1.028121251
84,0.04,0.5,0,0.25,0.06,157.2440745,145.7089902,157.2440745,36.95235751,36.55634117,31.94992119,1.044444444,1.054081011,1.022497001
85,0.04,0.5,0,0.25,0.07,157.2440745,142.3463669,157.2440745,36.55924732,36.07432023,31.77418048,1.033333333,1.040182216,1.01687275
86,0.04,0.5,0,0.25,0.08,157.2440745,138.8563719,157.2440745,36.16613714,35.59948162,31.59843977,1.022222222,1.026490518,1.0112485
87,0.04,0.5,0,0.25,0.09,157.2440745,135.3118896,157.2440745,35.77302695,35.13440394,31.42269906,1.011111111,1.013080271,1.00562425
88,0.04,0.5,0,0.25,0.1,157.2440745,131.767539,157.2440745,35.37991676,34.68077005,31.24695835,1,1,1
89,0.04,0.5,0,0.25,0.11,157.2440745,128.262825,157.2440745,34.98680658,34.23958719,31.07121764,0.988888889,0.987278747,0.99437575
90,0.04,0.5,0,0.25,0.12,157.2440745,124.8254166,157.2440745,34.59369639,33.81137266,30.89547693,0.977777778,0.974931428,0.9887515
91,0.04,0.5,0,0.5,0,477.1544113,477.1544113,64.69430585,44.53441218,44.53441218,33.00436545,1.258748359,1.284124087,1.056242501
92,0.04,0.5,0,0.5,0.001,64.69430585,64.69348273,64.69430585,32.31480577,32.31470576,32.96921731,0.913365794,0.931775901,1.055117651
93,0.04,0.5,0,0.5,0.002,64.69430585,64.69100709,64.69430585,32.28245862,32.28205946,32.93406917,0.912451514,0.930834564,1.053992801
94,0.04,0.5,0,0.5,0.003,64.69430585,64.68686998,64.69430585,32.25011147,32.2492154,32.89892102,0.911537234,0.929887524,1.052867951
95,0.04,0.5,0,0.5,0.004,64.69430585,64.68106295,64.69430585,32.21776431,32.21617501,32.86377288,0.910622954,0.928934824,1.051743101
96,0.04,0.5,0,0.5,0.005,64.69430585,64.67357826,64.69430585,32.18541716,32.18293984,32.82862474,0.909708674,0.927976507,1.050618251
97,0.04,0.5,0,0.5,0.006,64.69430585,64.66440898,64.69430585,32.15307001,32.1495115,32.7934766,0.908794394,0.92701262,1.049493401
98,0.04,0.5,0,0.5,0.007,64.69430585,64.65354848,64.69430585,32.12072286,32.11589165,32.75832846,0.907880114,0.926043211,1.048368551
99,0.04,0.5,0,0.5,0.008,64.69430585,64.6409907,64.69430585,32.0883757,32.08208202,32.72318031,0.906965834,0.92506833,1.047243701
