country,gdp_pc_pp,pop,share1,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Germany,43787.8157258774,81679769.0,0.0837,0.7530100000000001,0.5265064,0.6140809,,
Ghana,3954.5237160790603,27409893.0,0.0524,0.54042,0.1174127,0.23211980000000002,0.6257034540521396,0.1473819807795935
Gibraltar,,32217.0,,1.0,,,,
Greece,24094.7941892566,10820883.0,0.0555,0.78007,0.0654293,0.16323000000000001,,
Greenland,,56114.0,,0.86436,,,,
Grenada,12734.262053603,106825.0,,0.35591,,,,
Guam,,169885.0,,0.94516,,,,
Guatemala,7252.9499659534495,16342897.0,0.0444,0.51571,0.06985804,0.2047981,0.11104015013004734,0.03636766340320938
Guinea,1135.48654988464,12608590.0,0.0756,0.37161,0.0054247290000000005,0.044386400000000006,,
Guinea-Bissau,1367.2989746942599,1844325.0,0.0449,0.49332,,,,
Guyana,7064.45002450467,767085.0,,0.28553,,,,
Haiti,1650.5934897359302,10711067.0,0.019799999999999998,0.58645,0.04369855,0.12755239999999998,0.01029806614756764,0.014338184169277365
Heavily indebted poor countries (HIPC),2053.4377430625,721104105.0,,0.34585872825928504,,,,
High income,42644.166181961,1187092924.0,,0.811164766012767,0.36405709999999997,0.5378352,,
Honduras,4785.44435420517,8075060.0,0.035,0.5473,0.06635397999999999,0.1964441,0.2579485659627888,0.1349800015059394
"Hong Kong SAR, China",53462.863003292696,7305700.0,,1.0,0.34516379999999997,0.6087457,,
Hungary,24831.3460590894,9843028.0,0.078,0.7122700000000001,0.1423596,0.2304348,0.8014838870713212,0.3974498381291192
IBRD only,11727.1177677876,4524263790.68203,,0.53601472508209,,,,
IDA & IBRD total,9524.034337430121,6183773502.68203,,0.4879989803064671,,,,
IDA blend,5330.5362851804,585708797.0,,0.40985556987557104,,,,
IDA only,2566.24229835244,1073800915.0,,0.328048649979912,,,,
IDA total,3556.0050428923205,1659509712.0,,0.356953037955326,,,,
Iceland,42704.4217156058,330815.0,0.09179999999999999,0.94137,,,,
India,5733.45240032591,1311050527.0,0.0828,0.32747,0.07480032,0.18833629999999998,,
Indonesia,10385.3233228547,257563815.0,0.0723,0.53742,0.1379658,0.3511817,,
"Iran, Islamic Rep.",16507.024248116002,79109272.0,0.0681,0.73375,0.1516682,0.2603003,,
Iraq,14458.853538308,36423395.0,,0.69471,0.033137599999999996,0.036515809999999996,0.1295524584591229,0.11247386075519886
